"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date","month","profit"
1,2,2950,"25/02/17",FALSE,"Approved","Solex","Standard","medium","medium",71.49,53.62,41245,"Feb",17.87
2,3,3120,"21/05/17",TRUE,"Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92,41701,"May",1702.55
3,37,402,"16/10/17",FALSE,"Approved","OHM Cycles","Standard","low","medium",1793.43,248.82,36361,"Oct",1544.61
4,88,3135,"31/08/17",FALSE,"Approved","Norco Bicycles","Standard","medium","medium",1198.46,381.1,36145,"Aug",817.36
5,78,787,"01/10/17",TRUE,"Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48,42226,"Oct",1055.82
6,25,2339,"08/03/17",TRUE,"Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65,39031,"Mar",709.34
7,22,1542,"21/04/17",TRUE,"Approved","WeareA2B","Standard","medium","medium",60.34,45.26,34165,"Apr",15.08
8,15,2459,"15/07/17",FALSE,"Approved","WeareA2B","Standard","medium","medium",1292.84,13.44,39915,"Jul",1279.4
9,67,1305,"10/08/17",FALSE,"Approved","Solex","Standard","medium","large",1071.23,380.74,33455,"Aug",690.49
10,12,3262,"30/08/17",TRUE,"Approved","WeareA2B","Standard","medium","medium",1231.15,161.6,38216,"Aug",1069.55
11,5,1986,"17/01/17",FALSE,"Approved","Trek Bicycles","Mountain","low","medium",574.64,459.71,40784,"Jan",114.93
12,61,2783,"05/01/17",TRUE,"Approved","OHM Cycles","Standard","low","medium",71.16,56.93,42172,"Jan",14.23
13,35,1243,"26/02/17",TRUE,"Approved","Trek Bicycles","Standard","low","medium",1057.51,154.4,34527,"Feb",903.11
14,16,2717,"10/09/17",FALSE,"Approved","Norco Bicycles","Standard","high","small",1661.92,1479.11,34586,"Sep",182.81
15,12,247,"11/06/17",FALSE,"Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48,38193,"Jun",1055.82
16,3,2961,"10/10/17",FALSE,"Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92,37873,"Oct",1702.55
17,79,2426,"03/04/17",FALSE,"Approved","Norco Bicycles","Standard","medium","medium",1555.58,818.01,38206,"Apr",737.57
18,33,1842,"02/06/17",FALSE,"Approved","Giant Bicycles","Standard","medium","small",1311.44,1167.18,33888,"Jun",144.26
19,54,2268,"06/04/17",TRUE,"Approved","WeareA2B","Standard","medium","medium",1292.84,13.44,39915,"Apr",1279.4
20,25,3002,"28/01/17",TRUE,"Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65,37337,"Jan",709.34
21,27,1582,"09/10/17",FALSE,"Approved","Trek Bicycles","Standard","medium","medium",499.53,388.72,36334,"Oct",110.81
22,37,595,"29/06/17",TRUE,"Approved","OHM Cycles","Standard","low","medium",1793.43,248.82,36361,"Jun",1544.61
23,37,2001,"08/04/17",TRUE,"Approved","OHM Cycles","Standard","low","medium",1793.43,248.82,42145,"Apr",1544.61
24,82,515,"18/10/17",FALSE,"Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65,42404,"Oct",709.34
25,89,2822,"11/06/17",FALSE,"Approved","WeareA2B","Touring","medium","large",1362.99,57.74,34079,"Jun",1305.25
26,64,2596,"10/01/17",FALSE,"Approved","Trek Bicycles","Standard","medium","large",1469.44,596.55,42145,"Jan",872.89
27,64,2666,"11/04/17",TRUE,"Approved","Trek Bicycles","Standard","medium","large",1469.44,596.55,41047,"Apr",872.89
28,19,76,"23/12/17",FALSE,"Approved","Trek Bicycles","Mountain","low","medium",574.64,459.71,42560,"Dec",114.93
29,72,3368,"13/10/17",TRUE,"Approved","Norco Bicycles","Standard","medium","medium",360.4,270.3,42710,"Oct",90.1
30,91,1173,"15/03/17",FALSE,"Approved","WeareA2B","Standard","low","medium",642.31,513.85,41922,"Mar",128.46
31,88,2810,"05/09/17",TRUE,"Approved","Norco Bicycles","Standard","medium","medium",1198.46,381.1,37539,"Sep",817.36
32,1,3214,"18/02/17",FALSE,"Approved","Giant Bicycles","Standard","medium","medium",1403.5,954.82,42688,"Feb",448.68
33,25,1272,"20/03/17",FALSE,"Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65,42404,"Mar",709.34
34,99,2003,"28/02/17",TRUE,"Approved","Trek Bicycles","Road","low","small",1720.7,1531.42,38991,"Feb",189.28
35,0,2171,"20/08/17",FALSE,"Approved","Norco Bicycles","Road","medium","medium",544.05,376.84,38647,"Aug",167.21
36,92,3356,"07/07/17",FALSE,"Approved","WeareA2B","Standard","medium","small",1415.01,1259.36,37874,"Jul",155.65
37,14,1040,"09/01/17",FALSE,"Approved","Solex","Standard","high","large",1842.92,1105.75,34996,"Jan",737.17
38,2,2916,"06/12/17",FALSE,"Approved","Solex","Standard","medium","medium",71.49,53.62,33549,"Dec",17.87
39,12,427,"12/09/17",FALSE,"Approved","WeareA2B","Standard","medium","medium",1231.15,161.6,38693,"Sep",1069.55
40,0,2448,"28/11/17",TRUE,"Approved","Norco Bicycles","Road","medium","medium",544.05,376.84,38647,"Nov",167.21
41,44,2570,"08/05/17",TRUE,"Approved","WeareA2B","Standard","medium","medium",1769.64,108.76,37668,"May",1660.88
42,79,3398,"14/05/17",FALSE,"Approved","Solex","Touring","medium","large",2083.94,675.03,41533,"May",1408.91
43,76,488,"17/03/17",FALSE,"Cancelled","WeareA2B","Standard","low","medium",642.31,513.85,41922,"Mar",128.46
44,46,165,"22/12/17",FALSE,"Approved","Solex","Standard","low","medium",1289.85,74.51,37668,"Dec",1215.34
45,55,2787,"07/06/17",TRUE,"Approved","Trek Bicycles","Road","medium","large",1894.19,598.76,42172,"Jun",1295.43
46,66,3053,"20/06/17",FALSE,"Approved","Solex","Standard","medium","medium",1163.89,589.27,42560,"Jun",574.62
47,35,475,"07/05/17",TRUE,"Approved","Trek Bicycles","Standard","low","medium",1057.51,154.4,34527,"May",903.11
48,81,1305,"10/06/17",TRUE,"Approved","Solex","Standard","medium","medium",1151.96,649.49,41009,"Jun",502.47
49,86,1251,"17/06/17",FALSE,"Approved","OHM Cycles","Standard","medium","medium",235.63,125.07,38206,"Jun",110.56
50,32,3103,"10/05/17",FALSE,"Approved","Giant Bicycles","Standard","medium","medium",642.7,211.37,37337,"May",431.33
51,77,3108,"24/03/17",FALSE,"Approved","Norco Bicycles","Road","medium","large",1240.31,795.1,40553,"Mar",445.21
52,96,857,"27/11/17",FALSE,"Approved","Giant Bicycles","Standard","medium","large",1635.3,993.66,39427,"Nov",641.64
53,6,3455,"21/12/17",TRUE,"Approved","OHM Cycles","Standard","high","medium",227.88,136.73,33549,"Dec",91.15
54,27,2549,"09/02/17",TRUE,"Approved","Trek Bicycles","Standard","medium","medium",499.53,388.72,34527,"Feb",110.81
55,0,3140,"18/09/17",FALSE,"Approved","Norco Bicycles","Standard","low","medium",363.01,290.41,38482,"Sep",72.6
56,47,3406,"14/11/17",FALSE,"Approved","Trek Bicycles","Road","low","small",1720.7,1531.42,35470,"Nov",189.28
57,94,2294,"30/08/17",TRUE,"Approved","Giant Bicycles","Standard","medium","large",1635.3,993.66,41434,"Aug",641.64
58,91,1031,"14/11/17",FALSE,"Approved","Solex","Standard","medium","medium",100.35,75.26,36367,"Nov",25.09
59,93,993,"15/02/17",TRUE,"Approved","OHM Cycles","Standard","high","medium",1458.17,874.9,38750,"Feb",583.27
60,60,3473,"18/12/17",FALSE,"Approved","Giant Bicycles","Standard","high","small",1977.36,1759.85,41848,"Dec",217.51
61,0,1839,"24/02/17",FALSE,"Approved","OHM Cycles","Road","high","large",12.01,7.21,34244,"Feb",4.8
